"Acervo Café","-15.8434566","-47.9851931","acervocafe","Guará"
"Adorável Café","-15.8439028","-48.029198","adoravelcafe","Águas Claras"
"Belini Café","-15.8273461","-47.9209156","belinicafe",
"Café Clandestino","-15.7470158","-47.8858497","cafeclandestino",
"Café e um Chêro","-15.7592697","-47.8901148","cafeeumchero",
"Caliandra Café","-15.8721388","-47.8371128","caliandra",
"Civitá Cafés Especiais ","-15.7954848","-47.8948657","civitacafesespeciais",
"Croqui Café","-15.7177988","-47.8876747","croqui.cafe",
"Emilio’s Café ","-15.8352039","-48.0399003","emilioscafesnoinsta",
"Ernesto Cafés Especiais","-15.8306559","-47.9264053","ernestocafesespeciais","Asa Sul"
"Gentil Café","-15.8268269","-47.9064311","gentilcafe",
"Jacket Café","-15.811289","-47.9002271","jacketcafe",
"Koppe Cafés","-15.8090945","-47.8877268","koppecafes",
"Lale Café Doceria","-15.8267484","-47.9088413","lalecafedoceria",
"Los Baristas ","-15.77361","-47.878704","losbaristas",
"Minimalize Café","-15.833798","-48.045178","minimalizecafe",
"Nosso Quadrado Café","-15.8029256","-47.8952894","nossoquadrado",
"Objeto Encontrado","-15.783208","-47.8850887","objetoencontrado",
"Quanto Café","-15.7776056","-47.8848292","quanto.cafe",
"Rapport Café","-15.8031604","-47.8854303","rapportcafe",
"Seu Patrício Querido Café","-15.8052483","-47.9485497","seupatricioqueridocafe","Cruzeiro"
"The Coffee Hut Bsb","-15.7454687","-47.8881389","the.coffee.hut.bsb",
"Varanda Pães Artesanais","-15.7388944","-47.8906671","varandapaesartesanais",
"Antonieta","-15.763476","-47.892666","antonietacafe",
"Blend Cafés & Livros","15.8145487","-47.8900497","blend.cafesbsb",
"Casinha Café","-15.7530264","-47.8814919","casinhacafe",
"Castália Padaria e Café","-15.7831958","-47.8858187","castaliartesanal",
"Crioula Café","-15.8403045","-47.9781465","crioulacafe",
"Empório Buongustaio","-15.8427645","-48.0242014","emporiobuongustaio",
"Mercado do Café de Brasília","-15.8152512","-47.9119684","mercadodocafe.bsb",
"Quintal f/508","-15.7470441","-47.8857806","quintalf508",
"Salve Café Maravilha","-15.7398139","-47.8957443","salve_cafe",
"Teru Café","-15.8437246","-47.8974197","teru_cafe",
